_id,text,replies,retweets,location.latitude,location.longitude,sentimentScore.predominant,political
5f823e7e19b7952e0028898d,"@Monik2542 @angelamrobledo @CorteSupremaJ @IvanCepedaCast @petrogustavo @PartidoFARC @AidaAvellaE Monik
Al expresidente y Exsenador Uribe x cambio de ley q será juzgado ya no tiene la casa x cárcel el proceso sigue, a esperar q pasa
Recuerde q la vida es como prisma!",0,0,4.4446595,-75.2430012,NEGATIVE,true
5f823f7919b7952e0028898f,@Der_EinsameWolf @MankitsuK @petrogustavo @ProgIntl_ES Entonces me equivoco y no cuidas los ecosistemas y contra toda evidencia niegas el cambio climático y confías en que Uribe no debe ser condenado por soborno a testigos y fraude procesal!,0,0,4.5655504,-74.0056583,MIXED,true
5f823fbb19b7952e00288991,"Mi Ex, soberana Petrista, después de meeeeeses sin escribir, me escribió hoy, me hizo muy feliz, retransmito el mensaje: “ Uribista Gran Hijo de Puta: Púdrase”...mierda toda está saliendo bien. Dios Primero.  Viva Uribe, Viva Colombia. Mamertos hijueputas me encanta que les arda.",0,0,10.9799669,-74.8013085,POSITIVE,true
5f823ff219b7952e00288993,"@Der_EinsameWolf @Wilmar910111 @petrogustavo Poner a Uribe y a petro a la misma altura es de mediocres, de los que no les gusta leer ni dar crédito a las luchas, por ejemplo petro , sí petro fue el que luchó para que existieran los debates de la parapolítica!",0,0,4.5655504,-74.0056583,MIXED,true
5f82406219b7952e00288998,"@CathyJuvinao Jamás pasará eso mientras existan personas como ud, @DCoronell @IvanCepedaCast @GustavoBolivar @petrogustavo ya que no respiran sin Uribe",0,0,6.2443382,-75.573553,NEGATIVE,true
5f82413c19b7952e0028899a,"@tomasuribeEco @ernestomaciast Recuerde q Uribe es un ex presidiario q quedo libre no por inocente, vienen muchos procesos. “Que supone uno”?",0,0,4.5655504,-74.0056583,NEUTRAL,true
5f82417619b7952e0028899c,"Ese aparato Judicial fue desarrollado para dejar la impunidad como una sana costumbre, mientras que caen a diario las víctimas de la violencia en Colombia.",0,0,4.594612,-75.55556445605987,NEUTRAL,true
5f8241e019b7952e0028899e,JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJJA @AlvaroUribeVel @realDonaldTrump en la misma mierda están estos dos,0,0,11.544634,-72.9069784,NEUTRAL,true
5f82427819b7952e002889a0,"Si dijo que los magistrados de la Corte eran unos mafiosos que lo tenían secuestrado, esta pobre juez arriesga la vida si no lo deja libre.",0,0,5.0681104,-75.5173198,NEGATIVE,true
5f8242ff19b7952e002889a2,"Esos colombianos que salieron a apoyar a Uribe en medio de la ""caravana anticomunista"" organizada por exiliados cubanos en Miami...
¿Que tienen en la cabeza?",0,0,10.9799669,-74.8013085,NEUTRAL,true
5f82432b19b7952e002889a4,"Que diferencia de respuesta por un senador honesto y profesional, con la del crimínal @matarifeco , respetando la institucionalidad y la decisión de la justicia. Así no sea a su favor; felicitaciones senador Cepeda, es digno de seguirle apoyando en sus justas causas.👏🏽👏🏽👏🏽👏🏽👏🏽",0,0,10.4903807,-74.86683760095967,NEUTRAL,true
5f82433619b7952e002889a6,"Todo lo que dice el Fascista Presidente de los EEUU es un exabrupto de idioteces y mentiras. Uribe debería decir: ""No gracias!"". Trump acaba de recibir el apoyo de los Talibán en Afghanistan y Putin en Rusia, de los ""Proud Boys"" en los EEUU. NO GRACIAS.",0,0,10.4903807,-74.86683760095967,NEGATIVE,true
5f8243d619b7952e002889a8,"@Taehyungcuti @Luis10337702 @realDonaldTrump @AlvaroUribeVel El proceso mejor montado por la narco izquierda contra Uribe, era por el que lo tenían secuestrado en el Uberrimo; que se puede esperar de la basura y shit de los otros "" 230 procesos"". La izquierda criminal solo sirve para calumniar, torcer la justicia y comprar testigos.",0,0,4.5655504,-74.0056583,NEGATIVE,true
